Unnamed: 0,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,tmdb_id,tmdb_title,language
8,Arjun Reddy,2017.0,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,8.1,19419,473234,Arjun Reddy,Telugu
1,Baahubali 2: The Conclusion,2017.0,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,8.2,71458,350312,Bāhubali 2: The Conclusion,Telugu
523,Mental Madhilo,2017.0,UA,"Comedy, Drama, Romance            ","    An indecisive guy who has been rejected by several women, finds himself in a spot when he has to choose between two women.",142,7.4,433,492358,Mental Madhilo,Telugu
404,Gunturodu,2017.0,,"Action, Comedy            ",    A man and woman meet in college and are on their way to a lifetime of happiness when their plans get hijacked.,142,6.4,693,448908,Gunturodu,Telugu
918,Naa Nuvve,2018.0,U,Romance            ,"    Meera (played by Tamannaah Bhatia), a happy-go-lucky radio jockey falls in love with Varun (played by Kalyan Ram Nandamuri) who exudes confidence but is nothing like Meera. How far will the two go for the sake of their love?",125,4.2,128,530071,Naa Nuvve,Telugu
250,Sammohanam,2018.0,U,Romance            ,"    An unexpected encounter leads a cartoonist, who despises film actors, to fall in love with an actress.",137,7.6,1308,530198,Sammohanam,Telugu
887,Silly Fellows,2018.0,U,Comedy            ,"    An influential politician on his deathbed reveals the whereabouts of an illegal money stash to his trusted aide, a local MLA who becomes amnesiac after meeting with an accident.",122,5.9,140,548382,Silly Fellows,Telugu
914,Next Enti?,2018.0,UA,"Comedy, Drama, Romance            ",    A girl with a complicated mind fall in love with a boy who have open feelings for her.,122,4.6,129,568212,Next Enti?,Telugu
913,24 Kisses,2018.0,,Romance            ,    A heartfelt romantic comedy movie about modern age relationships and the transformation of the lead characters. This movie is also a celebration of 24 unique kisses varying from romantic to heart-warming.,140,4.9,129,562974,24 Kisses,Telugu
868,Ye Mantram Vesave,2018.0,U,Drama            ,"    A youngster, who is obsessed with gadgets, plays a game to pick up women. However, as the game progresses, things go awry when a woman's life is in danger.",123,4.0,150,510333,Ye Mantram Vesave,Telugu
