movie,year,genre,youtube_title,youtube_url
Adda,2013.0,Drama            ,"ADDA THEATRICAL TRAILER  | Sushanth, Shanvi",https://www.youtube.com/watch?v=LlaHlfvo4Q4
Potugadu,2013.0,"Comedy, Drama            ","Potugadu Movie - Theatrical Trailer - Manoj Manchu,Sakshi Chaudhary",https://www.youtube.com/watch?v=IFCbkWQ6jjc
Jabardasth,2013.0,Comedy            ,Ramba Oorvasi Menaka Official Teaser | Allari Naresh | Surbhi | Chandra Mohan | Chaitan Bharadwaj,https://www.youtube.com/watch?v=D1i030fPhhE
Tadakha,2013.0,Action            ,"Tadakha Latest Action Trailer - Naga Chaitanya, Tamanna, Sunil, Andrea Jeremiah",https://www.youtube.com/watch?v=QOWgOozuzOY
Masala,2013.0,"Action, Comedy            ",Masala Theatrical Trailer Official || Venkatesh || Ram || Anjali || Shazahn Padamsee,https://www.youtube.com/watch?v=mhnabd22s4k
Gunde Jaari Gallanthayyinde,2013.0,"Comedy, Drama, Romance            ",Gundejaari Gallanthayyinde Official Theatrical Trailer HD,https://www.youtube.com/watch?v=VBFpS1GAEG4
Current Theega,2014.0,"Action, Comedy, Romance            ","Current Theega Movie Trailer | Manchu Manoj, Rakul Preet Singh, Sunny Leone",https://www.youtube.com/watch?v=fgW3IZrLFEk
Heart Attack,2014.0,"Action, Romance            ",Heart Attack Official Trailer - HD | Nithiin | Adah sharma | Puri Jagannadh |,https://www.youtube.com/watch?v=OV-S4l6cE3g
Chinnadana Nee Kosam,2014.0,"Drama, Romance            ","Chinnadana Neekosam Theatrical Trailer - Nithin, Karunakaran, Mishti Chakraborty",https://www.youtube.com/watch?v=oRqSr6vO6PE
Rowdy Fellow,2014.0,"Action, Romance            ",Rowdy Fellow Latest Theatrical Trailer | Nara Rohit | Vishaka Singh | Rao Ramesh | Sunny MR,https://www.youtube.com/watch?v=Rf3gmp9IQ5Y
Chandamama Kathalu,2014.0,Drama            ,Chandamama Kathalu theatrical trailer - idlebrain.com,https://www.youtube.com/watch?v=OGTVcjdksXA
Geethanjali,2014.0,"Comedy, Horror            ",Geethaanjali Malayalam Movie Theatrical Trailer,https://www.youtube.com/watch?v=Afvg3hz4HhI
Mukunda,2014.0,Family            ,Mukunda Theatrical Trailer | Varun Tej | Pooja Hegde | Srikanth Addala | Mickey J Meyer,https://www.youtube.com/watch?v=9rcxSklwL0g
Pilla Nuvvu Leni Jeevitham,2014.0,"Action, Drama, Romance            ","Pilla Nuvvu Leni Jeevitham Theatrical Trailer || Sai Dharam Tej, Regina Cassandra",https://www.youtube.com/watch?v=NQMrOS9UN-E
Loukyam,2014.0,"Action, Comedy            ","Loukyam Theatrical Trailer  - Gopichand, Rakulpreet Singh, Hamsa Nandini | Silly Monks",https://www.youtube.com/watch?v=HHcfnpWToYg
Autonagar Surya,2014.0,"Action, Crime, Drama            ","Auto Nagar Surya Movie - Theatrical Trailer - Naga Chaitanya, Samantha",https://www.youtube.com/watch?v=_lF-aNMPQpM
Prathinidhi,2014.0,"Drama, Thriller            ","Prathinidhi Telugu Movie Trailer - Nara Rohit, Subra Aiyappa",https://www.youtube.com/watch?v=sZNrvgoD7HM
Alludu Seenu,2014.0,"Action, Comedy            ","Alludu Seenu Theatrical Trailer - Samantha, Srinivas, DSP, V.V. Vinayak - Aditya Music Telugu",https://www.youtube.com/watch?v=ILi17UAxvgo
